date,close,open,high,low,volume
2024-03-11T00:00:00+05:30,386.45,393.43,394.85,385.13,18666588.0
2024-03-12T00:00:00+05:30,381.78,383.71,383.71,376.96,36954419.0
2024-03-13T00:00:00+05:30,398.77,410.61,413.44,397.54,107647482.0
2024-03-14T00:00:00+05:30,396.12,398.29,401.65,394.57,32591933.0
2024-03-15T00:00:00+05:30,395.6,393.81,404.52,391.97,77604504.0
2024-03-18T00:00:00+05:30,394.05,395.51,397.11,393.53,16880052.0
2024-03-19T00:00:00+05:30,386.59,394.57,396.03,385.79,22241490.0
2024-03-20T00:00:00+05:30,392.39,387.01,393.29,386.59,20773974.0
2024-03-21T00:00:00+05:30,397.63,395.51,398.34,392.87,20369987.0
2024-03-22T00:00:00+05:30,404.57,397.63,405.56,397.63,41169933.0
2024-03-26T00:00:00+05:30,403.67,401.69,405.14,401.69,10884355.0
2024-03-27T00:00:00+05:30,404.0,403.06,404.85,402.54,12953774.0
2024-03-28T00:00:00+05:30,404.34,404.0,408.96,403.06,29592244.0
2024-04-01T00:00:00+05:30,402.78,405.04,407.17,401.88,9939550.0
2024-04-02T00:00:00+05:30,401.98,404.67,404.67,400.8,9379523.0
2024-04-03T00:00:00+05:30,401.36,402.12,404.76,397.4,13416702.0
2024-04-04T00:00:00+05:30,399.05,401.69,403.39,396.36,19448768.0
2024-04-05T00:00:00+05:30,403.58,398.81,407.5,396.41,17106050.0
2024-04-08T00:00:00+05:30,405.04,404.29,407.21,403.77,9022459.0
2024-04-09T00:00:00+05:30,402.45,406.32,407.31,401.69,7107354.0
2024-04-10T00:00:00+05:30,412.45,404.29,413.26,401.88,14840106.0
2024-04-12T00:00:00+05:30,405.99,410.61,411.32,404.29,19162692.0
2024-04-15T00:00:00+05:30,402.02,404.0,405.09,399.19,9265707.0
2024-04-16T00:00:00+05:30,402.02,399.52,403.06,399.47,10566001.0
2024-04-18T00:00:00+05:30,395.37,402.12,402.97,394.24,22578191.0
2024-04-19T00:00:00+05:30,400.94,394.57,402.35,392.68,17567524.0
2024-04-22T00:00:00+05:30,401.46,403.06,403.63,399.62,7534549.0
2024-04-23T00:00:00+05:30,405.14,401.46,406.36,401.27,12735389.0
2024-04-24T00:00:00+05:30,404.85,405.18,406.65,404.29,6192331.0
2024-04-25T00:00:00+05:30,413.02,406.84,413.73,404.95,30946981.0
2024-04-26T00:00:00+05:30,415.33,414.62,418.45,411.93,15651443.0
